Daria,177741115, /calcR 5 / 0
Daria,177741115, /calcR 5.5 / 0
Daria,177741115, /calcR 6.5 / 0
Daria,177741115, /calcInt 2 / 0
Daria,177741115, /calcC (1+1i) / 0
Daria,177741115, /calcC (1+1j) / (0+1j)
Daria,177741115, /calcC (1+1j) / (0+0j)
Daria,177741115, /help
Daria,177741115, /help
Daria,177741115, /help
Daria,177741115, /help
Daria,177741115, /help
Daria,177741115, /help
Daria,177741115, /help
Daria,177741115, /help
Daria,177741115, /calcInt
Daria,177741115, /calcInt
Daria,177741115, /calcInt 5 + 6
Daria,177741115, /help
Daria,177741115, /help
Daria,177741115, /calcInt
Daria,177741115, /help
Daria,177741115, /help
Daria,177741115, /help
Daria,177741115, /help
Daria,177741115, /CalcI 6 * 7
Daria,177741115, /CalcR 5.6 / 0.2
Daria,177741115, /CalcR 5.5 - 9.1
Daria,177741115, /help
Daria,177741115, /calcR 5.5 + 6.5
Daria,177741115, /calcR 10.4 / 0
